step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
32,1.634977072,0.500000000,0.000000000,0.200000000,0.018625192,-0.020239929,-0.023678338,-0.016860262,0.027479453,-0.021966001,-0.027826842,0.026680700,-0.022657817,-0.027900591,-0.020182736,0.012421707,-0.015385099,-0.002801180,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
33,1.685376015,0.500000000,0.000000000,0.200000000,0.018526431,-0.019981349,-0.024539752,-0.016258026,0.025818067,-0.021464039,-0.026742987,0.026467662,-0.022768922,-0.027146805,-0.019672632,0.012636846,-0.014495818,-0.002902388,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
34,1.734944419,0.500000000,0.000000000,0.200000000,0.018829623,-0.019783733,-0.024261981,-0.015758725,0.025731042,-0.020908237,-0.026020769,0.026329728,-0.023009792,-0.026548924,-0.019418634,0.012730082,-0.013657928,-0.002804182,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
35,1.785004293,0.500000000,0.000000000,0.200000000,0.018979564,-0.019580575,-0.023997564,-0.015437826,0.025776073,-0.020358380,-0.025655018,0.026224062,-0.023169976,-0.026062904,-0.019182004,0.012691017,-0.012941845,-0.002620915,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
36,1.834919996,0.500000000,0.000000000,0.200000000,0.019043498,-0.019362163,-0.023681436,-0.015126516,0.025567126,-0.019890582,-0.025358640,0.026060767,-0.023312965,-0.025881693,-0.018966939,0.012429603,-0.012387566,-0.002427737,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
37,1.884925663,0.500000000,0.000000000,0.200000000,0.019006802,-0.019162992,-0.023327431,-0.014834310,0.025211470,-0.019489957,-0.025024619,0.025859499,-0.023468418,-0.025751634,-0.018735219,0.012061302,-0.011918234,-0.002225082,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
38,1.935038910,0.500000000,0.000000000,0.200000000,0.018926997,-0.018978078,-0.022962729,-0.014553573,0.024786107,-0.019135203,-0.024676803,0.025688160,-0.023616804,-0.025632726,-0.018518928,0.011668146,-0.011508433,-0.002001790,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
39,1.984940042,0.500000000,0.000000000,0.200000000,0.018814892,-0.018795811,-0.022588262,-0.014288373,0.024323631,-0.018801015,-0.024329927,0.025522776,-0.023763936,-0.025518285,-0.018299658,0.011285832,-0.011127326,-0.001767902,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
40,2.035003063,0.500000000,0.000000000,0.200000000,0.018652219,-0.018601643,-0.022213656,-0.014041630,0.023818960,-0.018466676,-0.023982575,0.025366670,-0.023938218,-0.025238562,-0.018075380,0.011003400,-0.010749865,-0.001528702,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
41,2.084971047,0.500000000,0.000000000,0.200000000,0.018465297,-0.018372616,-0.021845851,-0.013825009,0.023291402,-0.018123588,-0.023644153,0.025277512,-0.024103051,-0.024816409,-0.017859561,0.010850086,-0.010385810,-0.001271217,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
