step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
35,1.785004293,0.500000000,0.000000000,0.200000000,0.021837393,-0.018000490,-0.024622095,-0.027345807,0.032547949,-0.031661577,-0.027638579,0.020984464,-0.023489224,-0.025381088,0.009028108,0.020509646,0.000623826,-0.010140413,0.002857829,0.001580085,-0.000624531,-0.011907981,0.006771876,-0.011303197,-0.001983561,-0.005239598,-0.000319248,0.000681816,0.028210112,0.007818629,0.013565671,-0.007519498
36,1.834919996,0.500000000,0.000000000,0.200000000,0.013224693,-0.019990731,-0.026534479,0.013571026,0.039874618,-0.012989430,-0.025563319,0.016091969,-0.025601284,-0.028776980,-0.029783934,0.018058771,0.013384278,0.034902618,-0.005818805,-0.000628568,-0.002853043,0.028697542,0.014307492,0.006901152,-0.000204679,-0.009968798,-0.002288319,-0.002895287,-0.010816995,0.005629168,0.025771844,0.037330355
37,1.884925663,0.500000000,0.000000000,0.200000000,0.018122255,-0.018945137,-0.021405345,-0.023567190,0.038504119,-0.014940809,-0.024648621,0.030542297,-0.026465278,-0.026555023,0.000413576,0.025509595,-0.008631556,-0.026834517,-0.000884547,0.000217855,0.001922086,-0.008732880,0.013292649,0.004549148,0.000375998,0.004682798,-0.002996860,-0.000803389,0.019148795,0.013448293,0.003286678,-0.024609435
38,1.935038910,0.500000000,0.000000000,0.200000000,0.032568850,-0.018089313,-0.017307285,-0.026833137,0.031386595,-0.013558155,-0.023528936,0.035711723,-0.035565400,-0.019367446,-0.022347737,0.006822918,-0.009994691,0.007914145,0.013641853,0.000888765,0.005655444,-0.012279564,0.006600488,0.005577048,0.001147867,0.010023563,-0.011948596,0.006265280,-0.003828809,-0.004845228,0.001513742,0.009915935
39,1.984940042,0.500000000,0.000000000,0.200000000,0.020544609,-0.019227011,-0.018701223,0.026995243,0.032114144,-0.020778895,-0.020735796,0.033416527,-0.028594363,-0.019052833,-0.036349633,0.019074396,0.017692096,-0.021267620,0.001729717,-0.000431200,0.003887039,0.041283616,0.007790513,-0.001977880,0.003594131,0.007893751,-0.004830427,0.006465452,-0.018049975,0.007788564,0.028819422,-0.019499718
40,2.035003063,0.500000000,0.000000000,0.200000000,0.016784401,-0.019760609,-0.014356427,-0.022509713,0.023782482,-0.014550907,-0.021148377,0.031396129,-0.030454642,-0.034445662,-0.003687852,0.012001913,-0.001291500,-0.012223089,-0.001867818,-0.001158966,0.007857229,-0.008468083,-0.000036478,0.003915769,0.002834198,0.006029459,-0.006516424,-0.009207100,0.014387528,0.000998513,0.009458365,-0.010694387
41,2.084971047,0.500000000,0.000000000,0.200000000,0.018451077,-0.016083532,-0.029833556,-0.016586171,0.008193237,-0.007552418,-0.023197812,0.017862768,-0.036166189,-0.024389353,-0.015771115,0.008672663,0.008998375,-0.019085496,-0.000014220,0.002289084,-0.007987705,-0.002761162,-0.015098165,0.010571170,0.000446341,-0.007414744,-0.012063138,0.000427056,0.002088446,-0.002177423,0.019384185,-0.017814279
42,2.135124506,0.500000000,0.000000000,0.200000000,0.022384207,-0.015617766,-0.024634041,-0.001524499,0.037587551,-0.028583322,-0.024978908,0.015541793,-0.020440422,-0.015455473,-0.037831229,0.011120113,0.028856004,-0.011958571,0.004115585,0.002504505,-0.003145963,0.012085959,0.014842977,-0.010829389,-0.001661001,-0.009704626,0.003821613,0.008851802,-0.020185728,0.000306084,0.038892657,-0.010964314
43,2.185002479,0.500000000,0.000000000,0.200000000,0.021485783,-0.016869238,-0.023821205,-0.000667252,0.025908140,-0.018097145,-0.023718283,0.035211050,-0.023245986,-0.027406737,-0.024630583,0.014770842,-0.003272114,-0.025837832,0.003420895,0.000996099,-0.002669174,0.012733495,0.003712167,-0.000723894,-0.000705157,0.010063854,0.001165061,-0.003491791,-0.007185501,0.003987297,0.006423798,-0.025133104
44,2.234962595,0.500000000,0.000000000,0.200000000,0.022669908,-0.019606917,-0.030629900,-0.017700458,0.024951586,-0.009244773,-0.025776857,0.022186544,-0.016901493,-0.023818527,-0.000758143,0.019182323,-0.030886816,-0.014745573,0.004810553,-0.001984809,-0.009793053,-0.004516529,0.003285868,0.007757161,-0.003056697,-0.002811422,0.007645810,-0.000199529,0.016491821,0.008489247,-0.021532751,-0.014328855
45,2.284968229,0.500000000,0.000000000,0.200000000,0.022458457,-0.021375449,-0.015907234,-0.015032144,0.012717108,0.001568408,-0.024754976,0.019968189,-0.026828260,-0.024757932,-0.009086484,0.015966729,-0.043522991,0.021092277,0.004797344,-0.003973705,0.004625802,-0.002064349,-0.008440540,0.018222261,-0.002324489,-0.004895808,-0.002151067,-0.001444268,0.007987043,0.005387098,-0.034495129,0.021232378
46,2.335316333,0.500000000,0.000000000,0.200000000,0.023325859,-0.015619994,-0.017491350,-0.033709379,0.028186032,-0.019854314,-0.024968555,0.025165097,-0.019853421,-0.027684872,-0.032126476,0.018208910,0.006434361,-0.009582880,0.005859899,0.001566655,0.002741419,-0.020948907,0.007518401,-0.003535587,-0.002821674,0.000445373,0.004956139,-0.004655891,-0.015241067,0.007758160,0.015134408,-0.009706262
47,2.384951231,0.500000000,0.000000000,0.200000000,0.018434611,-0.016953304,-0.012642080,-0.008550756,0.002697399,-0.022653739,-0.018561161,0.035130971,-0.015198665,-0.023729705,-0.029389689,0.019533540,-0.010117526,-0.003987697,0.001160021,0.000025371,0.007297389,0.004005029,-0.017493237,-0.006657449,0.003305408,0.010554985,0.009733962,-0.000982641,-0.012677172,0.009218942,-0.001735566,-0.004362640
48,2.434878091,0.500000000,0.000000000,0.200000000,0.013450813,-0.016203042,-0.024497151,-0.017915205,0.038823118,-0.016308252,-0.018272946,0.026157538,-0.021967937,-0.021601160,0.015782363,0.014994544,-0.003954611,0.003819439,-0.003631707,0.000571814,-0.004843643,-0.005562558,0.019098101,-0.000630468,0.003318825,0.001729046,0.003085844,0.000876092,0.032318945,0.004821433,0.004114357,0.003202851
49,2.484969574,0.500000000,0.000000000,0.200000000,0.014293715,-0.014587243,-0.023733967,-0.033253621,0.021820418,-0.011697839,-0.024480523,0.026441420,-0.025243276,-0.029770062,-0.047050490,0.014467048,-0.007721129,0.015896912,-0.002600218,0.001986696,-0.004368135,-0.021103160,0.002554278,0.003667007,-0.003163037,0.002163608,-0.000068947,-0.007558751,-0.030693239,0.004442367,0.000033876,0.015047136
50,2.534888360,0.500000000,0.000000000,0.200000000,0.009535121,-0.014459394,-0.018532960,-0.005753345,0.037784648,-0.015323270,-0.021550980,0.020839071,-0.035849186,-0.022415148,-0.037472547,-0.003801675,-0.033772763,0.015042440,-0.007176071,0.001947727,0.000629397,0.006271785,0.018903742,-0.000175573,-0.000460679,-0.003308091,-0.010600549,-0.000413483,-0.021187578,-0.013715562,-0.026241412,0.013973386
51,2.585012257,0.500000000,0.000000000,0.200000000,0.015966134,-0.014221880,-0.021946432,-0.017197560,0.011553655,-0.022430776,-0.016195312,0.002246521,-0.015897019,-0.016223736,-0.022671090,0.011596807,0.015521209,0.001471809,-0.000577502,0.002019406,-0.003077326,-0.005396958,-0.006918052,-0.007584984,0.004650716,-0.021754321,0.009375743,0.005531998,-0.006563667,0.001835553,0.022762734,0.000205405
